BAIRRO,TIPOESC,num_alunos
JARDIM SAPOPEMBA,CEU EMEF,24120
PARQUE BRISTOL,CEU EMEF,24120
JARDIM REGIS,EMEF,24070
PARQUE SANTO ANTÔNIO,EMEF      ,24042
IPIRANGA,CEU EMEF,24031
CIDADE TIRADENTES,CEI DIRET,24010
PARQUE BRISTOL,CIEJA,23880
CONJUNTO HABITACIONAL BRIGADEIRO FARIA L,EMEF,23770
PARQUE YPE,EMEF,23770
CATUMBI,EMEF,23710
PARQUE REGINA,EMEF      ,23703
VILA SABRINA,EMEF,23700
JARDIM RINCAO,EMEF      ,23649
CONJUNTO HABITACIONAL INÁCIO MONTEIRO,CEU AT COM,23538
VILA DOS PALMARES,EMEF,23520
JARDIM ICARAÍ,EMEF,23500
VILA PREL,EMEF,23420
JARDIM CÉLIA,CEU EMEF,23346
VILA ARICANDUVA,EMEF,23310
PIRAJUSSARA,CEU AT COM,23289
JARDIM PEDRO JOSE NUNES,EMEF,23250
LAJEADO,CEU EMEF,23210
JARDIM SANTA EMÍLIA,EMEF,23190
VILA GOMES,EMEF,23160
VILA MAZZEI,EMEF,23150
JARDIM TEREZA,EMEF,23140
JARDIM PIRITUBA,EMEF,23090
JARDIM ROSELI,EMEF,23060
CONJ PROMORAR RIO CLARO,EMEF,23050
VILA ALBA,EMEF,23030
BRASILÂNDIA,EMEF,22990
SANTANA,EMEFM     ,22965
JARDIM SABARA,EMEF,22950
VILA JAGUARA,EMEF,22940
JARDIM BEATRIZ,EMEF,22920
PARQUE BOTURUSSU,EMEF,22900
JD SAPOPEMBA,EMEF,22870
ITAQUERA,EMEF      ,22818
JARDIM JAQUELINE,EMEF,22810
AMERICANOPOLIS,EMEF,22790
JARDIM ANHANGÜERA,CEU EMEF,22740
CASA VERDE ALTA,EMEF      ,22692
CIDADE SAO FRANCISCO,EMEF,22690
PARQUE COCAIA,EMEF,22670
VILA DAS BELEZAS,CEU AT COM,22545
COHAB MONET,EMEF,22510
AMERICANÓPOLIS,EMEF,22480
JARDIM ESMERALDA,CR.P.CONV,22468
JARDIM MODELO,CEU AT COM,22446
VILA GOMES CARDIM,EMEF,22430
JARDIM MARIA ESTELA,EMEF,22290
JARDIM TRES MARIAS,EMEF,22260
VILA FANTON,CEU EMEF,22230
GRANJA NOSSA SENHORA APARECIDA,EMEF,22180
VILA GUACURI,EMEF,22140
CIDADE SATÉLITE SANTA BÁRBARA,EMEF,22100
JARDIM MARÍLIA,EMEF,22068
JARDIM PARQUE MORUMBI,EMEF      ,22059
VILA DOMITILA,EMEF,22000
VILA CORDEIRO,EMEF,21960
JARDIM SANTO ELIAS,EMEF,21930
CIDADE ANTÔNIO ESTEVÃO DE CARVALHO,EMEF,21900
VILA ARCÁDIA,EMEF,21900
PARQUE SANTA RITA,EMEF,21890
VILA BARUEL,EMEF,21870
JARDIM JARAGUA,EMEF,21830
CIDADE LIDER,EMEF,21770
VILA LEOPOLDINA,EMEF,21710
JARDIM BARTIRA,EMEF,21660
VELEIROS,EMEF,21660
JD PEDRO JOSE NUNES,EMEF,21610
PARADA INGLESA,EMEF,21560
PARQUE SEVILHA,EMEF,21540
CIDADE LÍDER,CR.P.CONV,21492
VILA ISA,EMEF,21310
PARQUE COLONIAL,EMEF,21280
ITAIM PAULISTA,CEU AT COM,21255
CONJUNTO HABITACIONAL BARRO BRANCO II,EMEF      ,21180
JARDIM SÃO ROBERTO,CEU AT COM,21162
BELA VISTA,CR.P.CONV,21115
JARDIM SÃO NICOLAU,EMEF,20960
JD.CONSORCIO,CIEJA,20940
JDCONSORCIO,CIEJA,20940
CIDADE ANTÔNIO ESTEVÃO DE CARVALHO,CR.P.CONV,20902
JARDIM RUSSO,EMEF,20890
JARDIM ELISA MARIA,EMEF,20840
JARDIM BANDEIRANTE,EMEF,20810
PARQUE MANDAQUI,EMEF,20800
PARQUE BRISTOL,EMEF,20790
JARDIM COMERCIAL,EMEF,20780
JARDIM VERGUEIRO,CR.P.CONV,20766
SAO JOAO CLIMACO,CEU EMEF,20750
JAGUARE,CEU EMEF,20660
JARDIM BONFIGLIOLI,EMEF,20660
MOINHO VELHO,EMEF,20640
JARDIM AUREA,EMEF,20620
CONJUNTO RESIDENCIAL JOSÉ BONIFÁCIO,EMEF,20610
PARQUE INDEPENDENCIA,EMEF,20580
JARDIM SANTO ANDRÉ,EMEF,20573
JARDIM HELENA,CEU AT COM,20511
PARQUE SÃO LUÍS,EMEF,20500
LIMÃO,EMEF,20490
JARDIM HERCILIA,EMEF,20470
VILA LIVIERO,EMEF,20450
JARDIM BOA VISTA,EMEF,20420
CIDADE IPAVA,EMEF,20412
JARDIM HELENA,EMEF      ,20367
VILA CONSTANCA,EMEF,20365
JARDIM ANDARAI,EMEF,20320
JARDIM MIRIAM,EMEF      ,20274
JARDIM NOVO PARELHEIROS,EMEI,20270
BALNEARIO SAO FRANCISCO,CEU EMEF,20260
VILA SAO GERALDO,EMEF,20250
JARDIM ITAPURA,EMEF,20170
JARDIM BELCITO,CEU EMEF,20118
CAMPININHA,EMEF,20050
JARDIM PENHA,EMEF,20050
JARDIM ANGELA,EMEFM,20000
VILA FANTON,EMEF,20000
CONJUNTO PROMORAR SÃO LUIS,EMEF,19985
VILA CARAGUATA,EMEF,19970
JARDIM CAMPO LIMPO,EMEF,19920
JARDIM TRÊS MARIAS,EMEF,19910
COLONIA ZONA SUL,EMEF,19905
VILA MOREIRA,CEU EMEF,19900
CAPELA DO SOCORRO,EMEF,19880
CONJUNTO CITY JARAGUA,EMEF,19880
JARDIM ESMERALDA,CEU EMEF,19870
VILA PROGRESSO,EMEF,19860
IPIRANGA,CEU AT COM,19830
INTERLAGOS,CEU EMEF,19810
JARDIM VALE DAS VIRTUDES,EMEF,19810
VILA BRASILANDIA,EMEF,19790
JARDIM PERI,EMEF      ,19755
JARDIM MIRAGAIA,EMEF,19750
JARDIM ELBA,EMEF,19710
VILA NHOCUNE,EMEF,19710
VILA SÃO NICOLAU,EMEF,19670
VILA GUARANI,EMEF,19660
JARDIM BRASILIA,EMEF      ,19623
SÃO JOÃO CLÍMACO,CEU AT COM,19617
JARDIM SANTA ADELIA,EMEF,19540
PARQUE RESIDENCIAL COCAIA,CR.P.CONV,19492
JARDIM AUGUSTO,EMEF,19490
ITAIM PAULISTA,CR.P.CONV,19460
CIDADE PATRIARCA,EMEF      ,19425
FAZENDA DA JUTA,EMEF,19410
CIDADE MÃE DO CÉU,EMEF,19390
JARDIM ESMERALDA,CEU AT COM,19365
VILA LOURDES,CIEJA     ,19332
CHACARA INGLESA,EMEF,19270
CHACARA SANTANA,EMEF,19270
CONJUNTO HABITACIONAL SITIO CONCEICAO,EMEF,19270
CONJUNTO HABITACIONAL SITIO CONCEIÇÃO,EMEF,19270
PARQUE MARIA HELENA,EMEF,19270
PARQUE CÍSPER,CEU AT COM,19263
JARDIM IMPERADOR,EMEF,19230
VILA ROQUE,EMEF,19210
COHAB MARECHAL MASCARENHAS DE MORAIS,EMEF,19180
JARDIM CAMARGO NOVO,CR.P.CONV,19176
JARDIM SANTANA,EMEF,19150
VILA PEDRA BRANCA,EMEF,19070
JARDIM PRINCESA,CR.P.CONV,19040
PARQUE SANTO ANTÔNIO,CEU EMEF,19017
JARDIM IGUATEMI,EMEF,19010
SUMARE,EMEF,18960
JARDIM SANTA FE,EMEF      ,18891
CONJUNTO HABITACIONAL TURÍSTICA,EMEF,18865
JARDIM GUANABARA,EMEF,18860
JARDIM DA SAUDE,EMEF,18850
PARQUE BOA ESPERANCA,EMEF      ,18831
JARDIM PAULISTANO ZONA NORTE,CR.P.CONV,18745
PARQUE SANTA BARBARA,EMEF,18620
JARDIM DENISE,EMEF,18590
JARDIM SAO PEDRO,EMEF,18590
CIDADE SÃO MATEUS,CR.P.CONV,18578
VILA RIO BRANCO,EMEF,18560
PARQUE DO LAGO,CR.P.CONV,18553
COHAB TEOTONIO VILELA,EMEF,18550
JARDIM SAPOPEMBA,CEU AT COM,18501
VILA DALILA,EMEF,18480
JARDIM HELENA,EMEI,18455
PARQUE SANTA MADALENA,EMEF,18390
PARQUE SAO LUCAS,EMEF,18260
SAÚDE,EMEF,18249
JARDIM MARISA,EMEF,18140
CHÁCARA SANTA MARIA,CR.P.CONV,18119
JARDIM SAO JANUARIO,EMEF,18100
JARDIM SANTA ADÉLIA,EMEF,18090
VILA ANADIR,EMEF,18020
VILA CARRÃO,EMEF,17990
VILA LEONOR,EMEF,17900
JARDIM VISTA ALEGRE,CR.P.CONV,17854
COLÔNIA (ZONA SUL),EMEF,17847
CHÁCARA SANTA MARIA,CEU AT COM,17826
VILA PRIMAVERA,EMEF,17800
VILA PROGRESSO (ZONA LESTE),EMEF,17798
JARDIM SATELITE,EMEF,17710
JARDIM ÁUREA,EMEF,17680
SACOMÃ,EMEF,17654
PARQUE PAULISTANO,EMEI,17640
VILA DALVA,EMEF,17580
ARTUR ALVIM,EMEF,17420
JARDIM TABOAO,EMEF,17420
JARDIM MATARAZZO,EMEF,17370
CIDADE NOVA HELIÓPOLIS,EMEI,17310
JARDIM FANGANIELLO,CR.P.CONV,17301
JARDIM DA CONQUISTA (ZONA OESTE),EMEF      ,17247
JARDIM ELEDY,CEU AT COM,17223
ÁGUA FRIA,EMEF,17180
JARDIM GRIMALDI,EMEF,17170
JARDIM ADUTORA,EMEF,17160
PARQUE TOMAS SARAIVA,EMEF,17100
VILA ITAIM,CR.P.CONV,16971
CIDADE DOMITILA,EMEF,16940
ITAQUERA,EMEI,16880
CONJ HAB MARECHAL MASCARENHAS DE MORAI,CIEJA     ,16866
PARQUE DOM JOÃO NERI,EMEF      ,16851
VILA MADALENA,EMEF,16820
JARDIM MARIA LUIZA,EMEF,16794
PARQUE NOVO MUNDO,EMEF      ,16782
MOOCA,CR.P.CONV,16780
VILA NOVA CURUCA,EMEI,16770
VILA GUSTAVO,EMEF,16760
VILA ISOLINA MAZZEI,EMEF,16720
JARDIM SAO ROBERTO,CEU EMEF,16700
JARDIM VILA FORMOSA,EMEF,16660
JARDIM BRITANIA,EMEF,16590
JARAGUÁ,EMEFM,16400
VILA AURORA,EMEFM,16400
VILA SOUZA,CR.P.CONV,16390
VILA NOVA MANCHESTER,EMEF,16380
QUINTA DA PAINEIRA,EMEF,16370
VILA OLIMPIA,EMEF,16290
VILA NOVA PARADA,CR.P.CONV,16287
JARDIM DOM JOSÉ,EMEF      ,16197
JARDIM ANGELA ZONA SUL,EMEF,16185
JARDIM ÂNGELA (ZONA SUL),EMEF,16185
JARDIM DAS OLIVEIRAS,EMEF      ,16143
VILA ITAIM,EMEF      ,16104
PERUS,EMEF      ,16053
JARDIM MARILU,EMEF      ,15996
PARQUE DO ENGENHO,EMEF      ,15975
JARDIM CAROMBÉ,CR.P.CONV,15943
JARDIM ESTER YOLANDA,EMEF,15830
JARDIM SAO PAULOZONA LESTE,CR.P.CONV,15815
JARDIM AEROPORTO,EMEF,15800
INSTITUTO DE PREVIDENCIA,CIEJA     ,15735
PARQUE MARIA LUIZA,EMEF,15730
CONJUNTO HABITACIONAL SANTA ETELVINA II,CR.P.CONV,15649
CIDADE SATÉLITE SANTA BÁRBARA,CR.P.CONV,15629
PARQUE BOTURUSSU,CR.P.CONV,15580
CONJUNTO HABITACIONAL TEOTONIO VILELA,EMEF      ,15573
JARDIM OFELIA,EMEF      ,15555
VILA SANTA ISABEL,EMEF,15550
CONJUNTO HABITACIONAL JARDIM SAO BENTO,EMEF,15500
GUAIANAZES,EMEF      ,15477
VILA MARIA ALTA,EMEF      ,15427
BRASILÂNDIA,CR.P.CONV,15418
CIDADE ANTÔNIO ESTEVÃO DE CARVALHO,CEU AT COM,15399
VILA FANTON,CEU AT COM,15372
VILA RIBEIRO DE BARROS,EMEF,15370
JARDIM SANTO ANDRÉ,CR.P.CONV,15352
JARDIM LOURDES,CR.P.CONV,15332
VILA PENTEADO,EMEF      ,15324
JARDIM MARACANÃ,CIEJA     ,15315
JARDIM CAMPOS,EMEF      ,15264
VILA CALIFORNIA,EMEF,15250
JARDIM CLIPER,EMEF,15220
GUAIANASES,EMEF      ,15126
CIDADE LIDER,CIEJA     ,15114
JARDIM DA LARANJEIRA (ZONA LESTE),CEU EMEF,15085
JARDIM DA LARANJEIRA ZONA LESTE,CEU EMEF,15085
LAUZANE PAULISTA,CR.P.CONV,15068
JARDIM ESMERALDA,EMEF,15020
CAMPO BELO,EMEF,15010
ERMELINO MATARAZZO,CIEJA     ,15009
VILA SONIA,EMEF      ,14994
VILA BOM JARDIM,EMEF,14990
JARDIM SANTA LUCRÉCIA,CEU AT COM,14964
JARDIM FONTALIS,EMEF      ,14904
VILA NOVA CACHOEIRINHA,CR.P.CONV,14871
BUTANTÃ,EMEF,14860
VILA NOVA CACHOEIRINHA,CEI INDIR,14806
VILA AMELIA,EMEF,14770
JARDIM PAULISTANO (ZONA NORTE),CEU EMEF,14745
JARDIM PAULISTANO ZONA NORTE,CEU EMEF,14745
VILA DO SOL,CEU AT COM,14742
JARDIM MARINGÁ,EMEF,14730
BELA VISTA,CEI INDIR,14721
COHAB CASTRO ALVES,EMEF,14700
JARDIM CAMARGO VELHO,EMEF,14650
JARDIM NORDESTE,EMEF      ,14601
VILA MARIA ALTA,EMEI,14601
PARQUE BOA ESPERANCA,CIEJA,14516
JARDIM PEDRO JOSÉ NUNES,EMEF,14511
GUAPIRA,EMEF      ,14460
SÃO MATEUS,CIEJA     ,14403
CAMBUCI,CIEJA     ,14364
JARDIM MIRIAM,EMEI,14340
CIDADE TIRADENTES,E TECNICA,14336
VILA GUSTAVO,EMEI,14310
JARDIM AMARO,EMEF,14300
VILA DO SOL,CEU EMEF  ,14277
JARDIM NOVO PARELHEIROS,CEU EMEF  ,14262
PARAISÓPOLIS,EMEF      ,14247
CONJUNTO RESIDENCIAL ELISIO TEIXEIRA LEI,EMEI,14210
PLANALTO PAULISTA,EMEF,14140
CONJUNTO HABITACIONAL RECANTO DOS HUMILD,EMEF      ,14139
JARDIM FLORESTA,EMEF      ,14127
JARDIM VILA MARIANA,EMEF,14090
JARDIM LUSO,EMEF,14070
JARDIM PALMARES,EMEF,14070
IPIRANGA,EMEF      ,14040
CHACARA SANTO ANTONIO,EMEF,14010
JARDIM JAPÃO,EMEF,13979
JARDIM CAMPINAS,EMEF      ,13947
CIDADE TIRADENTES,CR.P.CONV ,13875
PARQUE BOA ESPERANCA,CEU EMEF,13865
PARQUE BOA ESPERANÇA,CEU EMEF,13865
LAUZANE PAULISTA,EMEF      ,13854
PARQUE BOLOGNE,CEU AT COM,13854
LIMOEIRO,EMEF,13825
VILA CONSTANÇA,EMEF,13807
PARQUE CASA DE PEDRA,EMEI,13780
RECANTO VERDE DO SOL,EMEF,13760
JARDIM EDUCANDARIO,EMEF,13740
JORDANÓPOLIS,EMEF      ,13716
JARDIM CÉLIA,CEU AT COM,13713
VILA NOVA MANCHESTER,CR.P.CONV,13650
VILA LOURDES,EMEF,13622
JARDIM NAKAMURA,EMEF      ,13620
CONJUNTO PROMORAR ESTRADA DA PARADA,EMEF      ,13611
PARQUE ARARIBA,EMEF      ,13560
JARDIM CAMARGO NOVO,EMEF      ,13551
CIDADE TIRADENTES,CEU EMEF  ,13548
PARQUE DO LAGO,CEMEI,13493
JARDIM CENTENARIO,EMEI,13420
PARQUE BOA ESPERANÇA,EMEF,13347
JARDIM SANTA LUCRECIA,EMEF      ,13335
SÍTIO MORRO GRANDE,EMEF      ,13323
JARDIM CIDADE PIRITUBA,EMEF      ,13305
VILA PALMEIRAS,EMEF      ,13299
PARELHEIROS,CR.P.CONV,13290
SACOMÃ,CR.P.CONV,13275
JARDIM PAULISTANO ZONA NORTE,EMEF,13175
JARDIM DAS OLIVEIRAS,EMEI,13170
VILA HOMERO,EMEF,13160
PARQUE GRAJAU,EMEF      ,13152
