DRE;CODESC;TIPOESC;NOMES;NOMESCOFI;CEU;DIRETORIA;SUBPREF;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CD_CIE;EH;FX_ETARIA;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_CONV;DT_AUTORIZA;DT_EXTINCAO;NOME_ANT;REDE;LATITUDE;LONGITUDE;DATABASE
BT;400010;CEI DIRET ;ANTONIO JOAO ABDALLA, DR.;ANTONIO JOAO ABDALLA, DR.;;BUTANTA;BUTANTA;RUA ÂNGELO APARECIDO DOS SANTOS DIAS;257;JARDIM SÃO JORGE;5568090;37820844;37846848;37820844;Ativa;65;RAPOSO TAVARES;6503;35238557;35238557;161079111000000;0 A 3 ANOS;01/05/2003;36.710;30/01/1997;;13/08/2008;;;DIR;-46783406;-23592218;31/12/2015
BT;307378;ESC.PART. ;APICE;APICE;;BUTANTA;BUTANTA;RUA JOSÉ JANNARELLI;348;VILA PROGREDIOR;5615000;;;;Ativa;54;MORUMBI;5401;35178457;35178457;;ZERO A 5A;17/09/2010;52;15/09/2010;;17/09/2010;;;PAR;-46682645;-23578249;31/12/2015
BT;307177;ESC.PART. ;APOIO,  ESCOLA;APOIO,  ESCOLA;;BUTANTA;BUTANTA;AVENIDA MARECHAL JUAREZ TÁVORA;106;SUPER QUADRA MORUMBI;5750000;;;;Ativa;94;VILA SONIA;9404;35170999;35170999;;4 M A 5 A;03/12/2009;97;26/11/2009;;03/12/2009;;;PAR;-46738665;-23606170;31/12/2015
BT;306874;ESC.PART. ;ARCA DA ALIANCA;ARCA DA ALIANCA;;BUTANTA;BUTANTA;RUA GENERAL ELDES DE SOUZA GUEDES;55;JARDIM COLOMBO;5628050;;;;Ativa;94;VILA SONIA;9403;35807266;35807266;;4M A 6A;13/12/2007;61;10/12/2007;;13/12/2007;;;PAR;-46730069;-23600390;31/12/2015
BT;307818;ESC.PART. ;ARCO IRIS DOS SERAFINS;ARCO IRIS DOS SERAFINS;;BUTANTA;BUTANTA;RUA FRUTUOSO COELHO;23;JARDIM BOA VISTA (ZONA OESTE);5583110;;;;Ativa;65;RAPOSO TAVARES;6502;35476407;35476407;;0A A 5A;07/03/2012;41;02/03/2012;;07/03/2012;;;PAR;-46789299;-23584218;31/12/2015
BT;304701;ESC.PART. ;ARTE CRIANCA E.E.I;ARTE CRIANCA E.E.I;;BUTANTA;PINHEIROS;RUA DOUTOR MARIO FERRAZ;68;JARDIM EUROPA;1453010;;;;Ativa;62;PINHEIROS;6201;35138548;35138548;;;;;;;18/10/1995;;;PAR;-46687528;-23581036;31/12/2015
BT;92720;EMEF      ;ARTHUR WHITAKER, DES.;ARTHUR WHITAKER, DES.;;BUTANTA;BUTANTA;RUA ANDRE SARAIVA;860;VILA SONIA;5626000;37425772;;37425772;Ativa;94;VILA SONIA;9403;35053156;35053156;161079157000000;;20/03/1957;3.504;20/03/1957;;01/09/1982;;VILA SONIA II;DIR;-46735918;-23596402;31/12/2015
BT;501383;MOVA      ;ASSOCIACAO METODISTA LIVRE AGENTE - UNID I;ASSOCIACAO METODISTA LIVRE AGENTE - UNID I;;BUTANTA;BUTANTA;RUA GRANDE ARROZAL;36;VILA BUTANTÃ;5360180;;;;Ativa;67;RIO PEQUENO;6705;;;;;12/03/2010;2009.0.233.558.4;12/03/2010;12/03/2010;;;;CON;-46744643;-23562478;31/12/2015
BT;308272;ESC.PART. ;BABY ARTE, E.R.I.;BABY ARTE, E.R.I.;;BUTANTA;BUTANTA;RUA JOSÉ FILIPE DA SILVA;436;JARDIM ESTER;5372040;;;;Ativa;67;RIO PEQUENO;6703;35576840;35576840;;4 MESES A 3 ANOS;16/06/2015;19;11/06/2015;;;;;PAR;-46761409;-23582537;31/12/2015
BT;307249;ESC.PART. ;BEACON SCHOOL;BEACON SCHOOL;;BUTANTA;PINHEIROS;RUA BERLIOZ;245;ALTO DE PINHEIROS;5467000;;;;Ativa;2;ALTO DE PINHEIROS;201;35442297;35442297;;18 M A 5 A;27/04/2010;18;22/04/2010;;27/04/2010;;;PAR;-46715582;-23544894;31/12/2015
BT;14591;EMEI      ;BENEDICTO CASTRUCCI, PROF.;BENEDICTO CASTRUCCI, PROF.;;BUTANTA;BUTANTA;RUA CACHOEIRA PORAQUE;S/N   ;CONJUNTO PROMORAR RAPOSO TAVARES;5574450;37820084;;37814833;Ativa;65;RAPOSO TAVARES;6501;35200074;35200074;161079112000000;;02/03/1994;34.005;02/03/1994;;13/03/2001;;CONJ. HABITACIONAL RAPOSO TAVARES;DIR;-46800967;-23586339;31/12/2015
BT;400018;CEI DIRET ;BENEDICTO ROCHA, VER.;BENEDICTO ROCHA, VER.;;BUTANTA;BUTANTA;RUA DENIS CHAUDET;150;JARDIM DRACENA;5528220;37510258;;;Ativa;94;VILA SONIA;9401;35238485;35238485;161079155000000;0 A 3 ANOS;18/06/1987;24.018;18/06/1987;;22/05/2007;;JARDIM JACQUELINE;DIR;-46758811;-23593483;31/12/2015
BT;92819;EMEF      ;BRASIL-JAPAO;BRASIL-JAPAO;;BUTANTA;BUTANTA;RUA DOUTOR PAULO CARVALHO FERREIRA;94;JARDIM SARAH;5382040;37664383;;;Ativa;67;RIO PEQUENO;6703;35053132;35053132;161079137000000;;23/01/1967;6.855;23/01/1967;;10/04/1981;;ESCOLAS AGRUPADAS DO RIO PEQUENO;DIR;-46761340;-23573464;31/12/2015
BT;307373;ESC.PART. ;BRIGHT KIDS;BRIGHT KIDS;;BUTANTA;PINHEIROS;ALAMEDA CAMPINAS;1200;JARDIM PAULISTA;1404000;;;;Ativa;45;JARDIM PAULISTA;4503;35445113;35445113;;1A A 5A;11/09/2010;50;09/09/2010;;11/09/2010;;;PAR;-46657791;-23570614;31/12/2015
BT;19262;CEU EMEF  ;BUTANTA;BUTANTA;BUTANTA;BUTANTA;BUTANTA;AVENIDA ENGENHEIRO HEITOR ANTONIO EIRAS GARCIA;1870;JARDIM ESMERALDA;5588001;37324530;;;Ativa;67;RIO PEQUENO;6704;35056996;35056996;161079500000200;;07/02/2003;42.832;06/02/2003;;08/05/2007;;;DIR;-46750786;-23582405;31/12/2015
BT;19281;CEU EMEI  ;BUTANTA;BUTANTA;BUTANTA;BUTANTA;BUTANTA;AVENIDA ENGENHEIRO HEITOR ANTONIO EIRAS GARCIA;1870;JARDIM ESMERALDA;5588001;37324520;;;Ativa;67;RIO PEQUENO;6704;35057022;35057022;161079500000300;;07/02/2003;42.832;06/02/2003;;08/05/2007;;;DIR;-46750786;-23582405;31/12/2015
BT;400514;CEU CEI   ;BUTANTA;BUTANTA;BUTANTA;BUTANTA;BUTANTA;AVENIDA ENGENHEIRO HEITOR ANTONIO EIRAS GARCIA;1870;JARDIM ESMERALDA;5564000;37324512;;;Ativa;67;RIO PEQUENO;6704;35057034;35057034;161079500000100;;07/02/2003;42.832;06/02/2003;;22/05/2007;;;DIR;-46750786;-23582400;31/12/2015
BT;18244;EMEI      ;CAMILLO ASHCAR, PROF.;CAMILLO ASHCAR, PROF.;;BUTANTA;BUTANTA;RUA JOSE PORFIRIO DE SOUZA;495;JARDIM RAPOSO TAVARES;5563090;37824835;;;Ativa;65;RAPOSO TAVARES;6504;35207913;35207913;161079115000000;;29/10/1996;36.494;29/10/1996;;13/03/2005;;CONJ. HABITACIONAL JARDIM EDUCANDARIO;DIR;-46782606;-23602364;31/12/2015
BT;301833;ESC.PART. ;CANTINHO COLORIDO E.E.I.;CANTINHO COLORIDO E.E.I.;;BUTANTA;BUTANTA;AVENIDA NOSSA SENHORA DA ASSUNCAO;987;VILA BUTANTA;5359001;;;;Ativa;12;BUTANTA;1204;35151610;35151610;;;;;;;20/03/1996;;;PAR;;;31/12/2015
BT;90115;EMEI      ;CAROLINA MARIA DE JESUS;CAROLINA MARIA DE JESUS;;BUTANTA;BUTANTA;RUA DOMINGOS DE ABREU;458;VILA DALVA;5387070;37611397;37120775;;Ativa;67;RIO PEQUENO;6702;35092782;35092782;161079133000000;;04/07/1985;21.065;04/07/1985;;13/03/2001;;JARDIM ADALGIZA;DIR;-46764107;-23564716;31/12/2015
BT;90077;EMEI      ;CAROLINA RIBEIRO, PROFA.;CAROLINA RIBEIRO, PROFA.;;BUTANTA;BUTANTA;RUA MAJOR WALTER CARLSON;879;JARDIM SÃO JORGE (RAPOSO TAVARES);5567050;37821248;37829748;;Ativa;65;RAPOSO TAVARES;6503;35087580;35087580;161079118000000;;14/12/1981;17.727;14/12/1981;;;;JARDIM ARPOARDOR;DIR;-46788253;-23594829;31/12/2015
BT;307815;CR.P.CONV ;CASA DA INFANCIA DO MENINO JESUS;CASA DA INFANCIA DO MENINO JESUS;;BUTANTA;BUTANTA;RUA ABÍLIO BARBOSA LIMA;52;JARDIM ESTER YOLANDA;5374020;22732015;;;Ativa;67;RIO PEQUENO;6703;35474812;35474812;;0A A 3A;01/08/2012;2012.0.144.750.6;01/08/2012;01/08/2012;;;MENINO JESUS;CON;-46758347;-23580784;31/12/2015
BT;306191;CR.P.CONV ;CASA DA PEQUENA IVETE;CASA DA PEQUENA IVETE;;BUTANTA;PINHEIROS;RUA INHATIUM;152;ALTO DE PINHEIROS;5468160;30223059;;;Ativa;2;ALTO DE PINHEIROS;201;35180610;35180610;;1A A 3A;;;;20/07/2002;19/11/2011;;;CON;-46712948;-23537977;31/12/2015
BT;306121;ESC.PART. ;CASA DA VOVO ;CASA DA VOVO ;;BUTANTA;PINHEIROS;RUA JOAQUIM ANTUNES;71;PINHEIROS;5415010;;;;Ativa;62;PINHEIROS;6202;35163867;35163867;;;;;;;17/07/2001;;;PAR;-46678914;-23567287;31/12/2015
BT;307938;ESC.PART. ;CASTELINHO DOURADO;CASTELINHO DOURADO;;BUTANTA;BUTANTA;RUA DOUTOR JOAQUIM GOMES DE SOUZA;245;JARDIM PINHEIROS;5596100;;;;Ativa;12;BUTANTA;1201;35480320;35480320;;2A A 5A;29/11/2012;127;28/11/2012;;29/11/2012;;;PAR;-46743918;-23580727;31/12/2015
BT;307255;ESC.PART. ;CEIB;CEIB;;BUTANTA;BUTANTA;RUA DOUTOR ANTÔNIO ROBERTO NETO;269;JARDIM ESMERALDA;5366160;;;;Ativa;67;RIO PEQUENO;6704;35814210;35814210;;2 A 5 A;28/04/2010;13;16/04/2010;;22/05/2012;;;PAR;-46754156;-23579851;31/12/2015
BT;501426;MOVA      ;CENTRO COMUNITARIO RAPOSO TAVARES;CENTRO COMUNITARIO RAPOSO TAVARES;;BUTANTA;BUTANTA;RUA JOAQUIM GUIMARÃES;18;BUTANTÃ;5574010;;;;Ativa;65;RAPOSO TAVARES;6501;;;;;04/11/2011;2,01003E+11;04/11/2011;04/11/2011;;;;CON;-46802223;-23590998;31/12/2015
BT;501075;MOVA      ;CENTRO COMUNITARIO RAPOSO TAVARES;CENTRO COMUNITARIO RAPOSO TAVARES;;BUTANTA;BUTANTA;RUA CACHOEIRA VIDA NOVA;80;CONJUNTO PROMORAR RAPOSO TAVARES;5574460;37830663;;;Ativa;65;RAPOSO TAVARES;6501;;;;;;;;24/11/2006;;;;CON;-46801066;-23585872;31/12/2015
BT;500933;MOVA      ;CENTRO DE EDUCACAO E ORGANIZACAO POPULAR UNID II BT;CENTRO DE EDUCACAO E ORGANIZACAO POPULAR UNID II BT;;BUTANTA;BUTANTA;RUA AQUIANES;13;VILA BUTANTA;5360120;37610029;;;Ativa;67;RIO PEQUENO;6702;;;;;;;;30/10/2006;;;CENTRO DE EDUCACAO E ORGANIZACAO POPULAR UNID;CON;-46742934;-23561998;31/12/2015
BT;500829;MOVA      ;CENTRO SOCIAL SANTO DIAS UNID I BT;CENTRO SOCIAL SANTO DIAS UNID I BT;;BUTANTA;BUTANTA;AVENIDA OTACÍLIO TOMANIK;1555;VILA POLOPOLI;5363101;37665166;;;Ativa;67;RIO PEQUENO;6705;;;;;;;;17/10/2006;;;;CON;-46747490;-23566253;31/12/2015
BT;501234;MOVA      ;CENTRO SOCIAL SANTO DIAS UNID VI BT;CENTRO SOCIAL SANTO DIAS UNID VI BT;;BUTANTA;BUTANTA;RUA ANDRE DIAS;83;JARDIM BOA VISTA;5584030;;;;Ativa;65;RAPOSO TAVARES;6502;;;;;;;;17/10/2006;;;;CON;-46790610;-23581004;31/12/2015
BT;19551;CEU EMEF  ;CESAR ARRUDA CASTANHO, DEP.;CESAR ARRUDA CASTANHO, DEP.;UIRAPURU;BUTANTA;BUTANTA;RUA NAZIR MIGUEL;849;JARDIM PAULO VI;5570030;37830669;;;Ativa;65;RAPOSO TAVARES;6505;35246360;35246360;161079510000200;;17/12/1999;38.818;16/12/1999;;13/03/2001;;JARDIM CAMBARA;DIR;-46789110;-23600301;31/12/2015
BT;501553;MOVA      ;CETEAC-CENTRO DE ESTUDOS E TRABALHOS EM EDUC, ARTE E CULTURA;CETEAC-CENTRO DE ESTUDOS E TRABALHOS EM EDUC, ARTE E CULTURA;;BUTANTA;BUTANTA;RUA VISCONDE DE NACAR;9;REAL PARQUE;5685010;;;;Ativa;54;MORUMBI;5404;;;;;21/07/2015;2,01502E+11;21/07/2015;;;;CETEAC-CENTRO DE ESTUDOS E TRABALHOS EM EDUC,;CON;-46705348;-23608741;31/12/2015
BT;19519;EMEI      ;CHACARA DO JOCKEY;CHACARA DO JOCKEY;;BUTANTA;BUTANTA;RUA SANTA EUFRÁSIA;S/N   ;FERREIRA;5524010;;;;Ativa;94;VILA SONIA;9402;35580727;35580727;161079177000000;;10/09/2015;56400;09/09/2015;;;;;DIR;-46745229;-23596993;31/12/2015
BT;400274;CEI DIRET ;CIDADE DE GENEBRA;CIDADE DE GENEBRA;;BUTANTA;BUTANTA;RUA CACHOEIRA PORAQUÊ;100;CONJUNTO PROMORAR RAPOSO TAVARES;5574450;37811290;;;Ativa;65;RAPOSO TAVARES;6501;35279262;35279262;161079114000000;0 A 3 ANOS;30/12/2001;41.431;29/11/2001;;22/05/2007;;CONJ. HABITACIONAL RAPOSO TAVARES I;DIR;-46804457;-23585119;31/12/2015
BT;307197;ESC.PART. ;CIRANDA DO SABER;CIRANDA DO SABER;;BUTANTA;PINHEIROS;AVENIDA PADRE PEREIRA DE ANDRADE;591;BOAÇAVA;5469000;;;;Ativa;2;ALTO DE PINHEIROS;201;35294974;35294974;;4 M A 5 A;24/12/2009;112;17/12/2009;;24/12/2009;;;PAR;-46719012;-23542038;31/12/2015
BT;99023;EMEI      ;CLYCIE MENDES CARNEIRO;CLYCIE MENDES CARNEIRO;;BUTANTA;BUTANTA;RUA JOAQUINA DA LAPA;210;JARDIM ESTER YOLANDA;5374070;37828891;37814142;37814142;Ativa;67;RIO PEQUENO;6703;35095710;35095710;161079136000000;;04/11/1987;24.873;04/11/1987;;13/03/2001;;JARDIM ESTHER YOLANDA;DIR;-46760639;-23579131;31/12/2015
BT;306727;CR.P.CONV ;COEPE I;COEPE I;;BUTANTA;PINHEIROS;RUA RIBEIRO DO VALE;120;BROOKLIN PAULISTA;4568000;55337922;;;Ativa;35;ITAIM BIBI;3503;35180359;35180359;;1 A 3 ANOS;;;;10/04/2005;07/10/2014;;;CON;-46689436;-23614594;31/12/2015
BT;400414;CEI INDIR ;COHAB EDUCANDARIO;COHAB EDUCANDARIO;;BUTANTA;BUTANTA;RUA JOSE PORFIRIO DE SOUZA;S/N   ;JARDIM RAPOSO TAVARES;5563090;37816945;;;Ativa;65;RAPOSO TAVARES;6504;35184573;35184573;;1A A 3A;30/10/1996;36509;30/10/1996;20/07/2002;23/11/2011;;;CON;-46780426;-23603026;31/12/2015
BT;400034;CEI DIRET ;COHAB RAPOSO TAVARES;COHAB RAPOSO TAVARES;;BUTANTA;BUTANTA;RUA CACHOEIRA PORAQUÊ;560;CONJUNTO PROMORAR RAPOSO TAVARES;5574450;37814606;;;Ativa;65;RAPOSO TAVARES;6501;35238491;35238491;161079117000000;0 A 4 ANOS;12/11/1991;30554;12/11/1991;04/07/2015;22/05/2007;;;DIR;-46800644;-23586508;31/12/2015
BT;307988;ESC.PART. ;COLEGIO ANDRADE GRIGOLI;COLEGIO ANDRADE GRIGOLI;;BUTANTA;BUTANTA;RUA DAVID BEN GURION;240;JARDIM MONTE KEMEL;5634000;;;;Ativa;94;VILA SONIA;9404;35496820;35496820;;18M A 5A;02/09/2013;29;28/08/2013;;02/09/2013;;;PAR;-46738421;-23603597;31/12/2015
BT;308007;ESC.PART. ;COLEGIO ARTE VIVA;COLEGIO ARTE VIVA;;BUTANTA;BUTANTA;AVENIDA GENERAL ASDRÚBAL DA CUNHA;279;JARDIM ARPOADOR;5565000;;;;Ativa;65;RAPOSO TAVARES;6505;35561654;35561654;;1A A 5A;31/10/2013;42;16/10/2013;;31/10/2013;;;PAR;-46792461;-23590913;31/12/2015
BT;308080;ESC.PART. ;COLEGIO EVOLVE;COLEGIO EVOLVE;;BUTANTA;BUTANTA;RUA CLEMENTINE BRENNE;385;PARAISÓPOLIS;5659000;;;;Ativa;54;MORUMBI;5403;35561174;35561174;;4 MESES A 5 ANOS;24/04/2014;46;17/04/2014;;;;;PAR;-46723840;-23606756;31/12/2015
BT;306666;ESC.PART. ;CRESCENTE, ESCOLA;CRESCENTE, ESCOLA;;BUTANTA;BUTANTA;RUA HUGO CAROTINI;269;INSTITUTO DE PREVIDENCIA;5532020;37268694;;;Ativa;12;BUTANTA;1204;35178512;35178512;;18M A 6A;;;;;17/09/2005;;;PAR;-46722955;-23577410;31/12/2015
BT;301957;ESC.PART. ;CRIARTE - BERCARIO E PRE-ECOLA;CRIARTE - BERCARIO E PRE-ECOLA;;BUTANTA;PINHEIROS;RUA PROFESSOR VAHIA DE ABREU;696;VILA OLIMPIA;4549003;;;;Ativa;62;PINHEIROS;6201;35156401;35156401;;;;;;;01/10/1996;;;PAR;;;31/12/2015
BT;307372;ESC.PART. ;CRYSTAL;CRYSTAL;;BUTANTA;BUTANTA;RUA MARECHAL OLÍMPIO MOURÃO FILHO;253;VILA SÃO FRANCISCO;5352080;;;;Ativa;67;RIO PEQUENO;6701;35445204;35445204;;3M A 5A;11/09/2010;48;09/09/2010;;11/09/2010;;;PAR;-46758736;-23556136;31/12/2015
BT;19249;EMEF      ;DAISY AMADIO FUJIWARA, PROFA.;DAISY AMADIO FUJIWARA, PROFA.;;BUTANTA;BUTANTA;RUA AMARALINA;141;JARDIM ARPOADOR;5565090;37820687;37820977;;Ativa;65;RAPOSO TAVARES;6503;35281438;35281438;161079132000000;;11/01/2003;42788;10/01/2003;;13/08/2008;;JARDIM JOAO XXIII;DIR;-46787957;-23595554;31/12/2015
